Name,Place,Town Name,Phone Number,Overall Rating,Rating,Pricelist,Best Selling,Hot Trending,Average Daily Profit,Average Daily Customers,Most Crowded Day
Thakkaaram Restaurant ,"Nh 66, Bypass, Chakkalakkal, Kochi, Palarivattom,Ernakulam - 682025, Opposite Emc",Vazhakkala,8593084422,4.03,4,,Thalassery Biryani,Pizza,10000,45,Sunday 
Gokul Oottuvura,"Ittys,Panampilly Nagar, Ernakulam",Ernakulam ,               0484 2310401,4.02,4,                      ? 0 - 500,Sadhya,Burger,20000,50,Saturday
Bolgatty Palace Restaurant,"Bolgatty Palace and Island Resort KTDC, Mulavukadu, Vypin, Ernakulam - 682010",Mulavukadu,               0484 2450500,4.24,4.2,               ? 1000 - 2000,Appam with Stew,Kappa Meen Curry,40000,46,Friday
Njettilla Vattayila ,"PT Usha Road, Ernakulam - 682016, Opposite Maharajas Stadium",Ernakulam ,7560866935,3.92,3.9,                        ? 0 - 500,Spicy Chicken Fry,Kappa Boti,50000,80,Wednesday
Mullapanthal Restaurant,"MLA Road, Mankaikavala, Udayamperoor, Ernakulam - 682307, Near Ameda Temple",Ernakulam ,               0484 2791227,4.15,4.1,                        ? 0 - 500,Kerala Prawn Curry,Parota with beef curry,35000,76,Thursday
Thaal Kitchen,"Kakkanad, Ernakulam - 682030, Near Rajagiri College",Kakkanad,9539099499,3.76,3.7,                        ? 0 - 500,Kappa and Meen Curry,Thalassery Biryani,15000,32,Tuesday                  
D Lite Restaurant,"Post Box No.2, Pallithazham, Kochi, Chottanikkara Road, Mulanthuruthy, Ernakulam - 682314",Mulanthuruthy,9446752608,3.72,3.7,                        ? 0 - 500,Thattu Dosa with Chutney,Seafood ,28000,78,Monday
Thakkaaramanthi House,"NH 47 Bypass, Vyttila, Ernakulam - 682019, Opposite Gold Souk Grande Mall",Thrippunithura,9526442266,3.84,3.8,                 ? 500 - 1000,Fish Molee,Fried Prawns,20000,100,Wednesday
Ceylon Bake House,"M G Road, Jos Junction, Ernakulam - 682016, Opposite To Avenue Regency",Ernakulam ,               0484 2366011,3.92,3.9,                        ? 0 - 500,Beef Fry,Chuttuli Meen ,35000,56,Tuesday
Pai Dosa in Edapally,"AS Tower, Edapally, Ernakulam - 682024, Behind LuLu Mall ",Ernakulam ,               0484 2801778,3.93,3.9,                        ? 0 - 500,Naadan Kozhi Curry,Death by Chocolate,14000,80,Sunday
Ifthar Taste Of Real Malabar,"K K Building, Toll Junction, Edapally, Ernakulam - 682024, Opposite Pittappillil",Ernakulam ,               0484 2801157,4.04,4,                        ? 0 - 500,dosa Ghee roast with sambar,Kappa Puzhukku,10000,40,Sunday
Erivum Pulium,"Banerji Road, Ernakulam - 682018, Near Saritha Theatre",Ernakulam ,               0484 4022211,3.86,3.8,                        ? 0 - 500,Karimeen Pollichathu ,Ghee Rice (NeyChoru),35000,92,Friday
Paradise Hotel,"Ground Floor, Civil Line Road, Palarivattom, Ernakulam - 682025, Near S L Plaza",Vazhakkala,               0484 2340670,3.93,3.9,                        ? 0 - 500,Parota with beef curry,Seafood ,15000,50,Wednesday
Ifthar,"Edachira, Kakkanad, Ernakulam - 682030, Opposite Info Park ",Kakkanad,8589871451,3.72,3.7,                        ? 0 - 500,Idli Sambhar,Fried Prawns,30000,48,Monday
O.ji.ka ,"Deshabhimani Karukappilly Road, Kaloor, Ernakulam - 682017, Opposite BSNL Office",Ernakulam ,9995550432,4.31,4.3,                        ? 0 - 500,Sea foods,Chuttuli Meen ,30000,35,Saturday
Sarovaram Restaurant,"C/O Sarovaram Hotel, NH 47 Cochin Bypass, Maradu, Ernakulam - 682304, Opposite to Volkswagen",Maradu,               0484 2305519,4.13,4.1,                        ? 0 - 500,Kappa and Meen Curry,Kappa Boti,14000,90,Sunday
Kayees Rahmathulla Hotel,"New Road, Mattancherry, Ernakulam - 682002",Kochi,               0484 2226080,4.22,4.2,                        ? 0 - 500,Kerala Prawn Curry,Parota with beef curry,28000,86,Tuesday
Aavi ,"Itty`s, Main Avenue, Panampilly Nagar, Ernakulam - 682036 ",Ernakulam ,               0484 6510510,4.03,4,                        ? 0 - 500,dosa Ghee roast with sambar,Thalassery Biryani,35000,36,Friday
Kayaloram Restaurant,"North Kumbalangi, Kumbalangi, Kumbalangi, Ernakulam - 682007 ",Kumbalangy,8891018014,4.45,4.4,                        ? 0 - 500,Fish Molee,Seafood ,50000,44,Wednesday
Ifthar Restaurant ,"Thoppumpady, Ernakulam - 682005, Near Harbour Bridge ",Kochi,9633323322,3.78,3.7,                        ? 0 - 500,Sadhya,Kappa Puzhukku,20000,40,Sunday 
Marhaba Restaurant,"Deshabhimani Road, Karukapilly, Kaloor, Ernakulam - 682017, Near Juma Masjid",Ernakulam ,9633767011,3.92,3.9,                        ? 0 - 500,Spicy Chicken Fry,Pizza,37000,80,Sunday
Binnammas Food Gallery,"Thammanam Vytilla Road, Thammanam, Ernakulam - 682032, Near to Riyan Studio",Ernakulam ,9747811811,4.11,4.1,                        ? 0 - 500,Naadan Kozhi Curry,Burger,20000,98,Wednesday
Ayswarya hotel ,"Albies Estate, Manorama Junction, Biulding, Ernakulam - 682016, Near South Over Bridge",Ernakulam ,9074041672,4.13,4.1,                        ? 0 - 500,Thalassery Biryani,kappa meen curry,18000,70,Tuesday
Fusion Bay Restaurant,"K B Jacob Road, Fort Road, Ernakulam - 682001, Near Santa Cruz Basilica Church",Ernakulam ,               0484 2217799,4.45,4.4,                 ? 500 - 1000,Sadhya,Kappa Boti,20000,58,Sunday 
Bhadariya Hotel,"Mc Road, Angamaly, Ernakulam - 683572, Near Jumma Masjid ",Angamaly,               0484 2455407,3.62,3.6,                       ? 0 - 500,Appam with Stew,Parota with beef curry,32000,30,Wednesday
IdlyPura ,"Kuzhikattumoola, Infopark Kochi, Ernakulam - 682042",Kakkanad,97455701300,3.84,3.8,                        ? 0 - 500,Spicy Chicken Fry,Thalassery Biryani,20000,60,Saturday
Empire Plaza,"No.12/760-B2, B3, Kakkanad, Padamughal, Ernakulam - 682037",Kakkanad,8592831555,4.01,4,                        ? 0 - 500,Kerala Prawn Curry,Seafood ,50000,40,Tuesday
Grand Malabar,"Airport Junction, Athani Ernakulam, Ernakulam - 683585, Near International Airport ",Angamaly,          0484 2477135,3.91,3.9,                        ? 0 - 500,Kappa and Meen Curry,Fried Prawns,30000,55,Sunday 
Ceylon Bake House,"Popposite Governement Guest House, Broad Way, Marine Drive, Ernakulam - 682031, Near Guest House",Ernakulam ,          0484 2361477,4.02,4,                        ? 0 - 500,Thattu Dosa with Chutney,Chuttuli Meen ,14000,46,Wednesday
Hotel Sehiyon Ootushala,"Pullapadi Road Pullapady Junction, Pullepady, Ernakulam - 682035",Ernakulam ,          0484 2369427,4.12,4.1,                        ? 0 - 500,Fish Molee,Death by Chocolate,10000,43,Friday
Hotel Anandas,"Padivattom, Ernakulam, Padivattom, Ernakulam - 682024",Ernakulam ,        0484 04858555,3.94,3.9,                        ? 0 - 500,Beef Fry,Kappa Puzhukku,18000,72,Tuesday
Kettuvallam Restaurant ,"Seaport Airport Road, Kakkanad, Ernakulam - 682037, Near T V Center ",Kakkanad,            90377 77060,3.82,3.8,                        ? 0 - 500,Naadan Kozhi Curry,Ghee Rice (NeyChoru),30000,30,Monday
Blue Sea,"Edappally Raghavan Pillai Road, Edapally, Ernakulam - 682024, Near Gayathri Kalyana Mandapam",Ernakulam ,          0484 4055077,4.01,4,                        ? 0 - 500,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),35000,60,Sunday 
Gokul Oottupura,"Marine Drive, Ernakulam - 682031, Opposite Ernakulathappan Temple, North Gate, KT Koshi Avenue ",Ernakulam ,          0484 2355115,4.25,4.2,                        ? 0 - 500,arimeen Pollichathu ,sandwhich,12000,40,Saturday
Diana Heights Multicuisine,"Nedumbassery, Ernakulam - 683585, Near Athani Junction, Cochin International Airport",Nedumbassery,          0484 2474160,4.09,4,                  ? 500 - 1000,Parota with beef curry,Kappa meen curry,20000,55,Friday
Alikkas Hotel ,"Kalamassery, Ernakulam - 683104, Near Post Office",Kalamassery,9995139595,3.69,3.6,                        ? 0 - 500,Idli Sambhar,Kappa Boti,35000,70,Thursday
Tamr Cafe,"MG Road, Padma Junction, Ernakulam - 682035, Opposite Padma Theatre",Ernakulam ,          0484 4067867,4.07,4,                        ? 0 - 500,sea foods,Parota with beef curry,12000,52,Sunday
Captain Fisher,"C/o MJM International Hotel, Vyttila, Ernakulam - 682019, Opposite Silver Sand Island ",Thrippunithura,          0484 2301407,4.18,4.1,                 ? 500 - 1000,Kappa and Meen Curry,Thalassery Biryani,37000,80,Wednesday
Kappem Puttum ,"Ponneth Temple Road, Kadavanthara, Ernakulam - 682020, Near Giridhar Eye Hospital ",Ernakulam ,9947908777,3.88,3.8,                       ? 0 - 500,Kerala Prawn Curry,Seafood ,32000,82,Sunday
Ifthar,"Sonia Nagar, Palarivattom, Thammanam Road, Palarivattom, Ernakulam - 682025, V Mart Building",Vazhakkala,7736920078,3.91,3.9,                       ? 0 - 500,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),20000,78,Saturday
Baycholin Restaurant ,"Sea Port Airport Road, Chittethukara, Kakkanad, Ernakulam - 682030, Near to North Masjid ",Kakkanad,7994813246,3.81,3.8,                       ? 0 - 500,Fish Molee,sandwhich,35000,65,Thursday
Hotel Aryas ,"Medical, Pallimukku, Ernakulam - 682016",Ernakulam ,          0484 4041427,3.64,3.6,                       ? 0 - 500,Fish Molee,Burger,20000,43,Tuesday
The Kitchen ,"Pipeline Jn, Civil Line Road, Palarivattom, Ernakulam - 682025, Opp Kcbc ",Ernakulam ,          0484 4852992,3.97,3.9,                       ? 0 - 500,Beef Fry,kappa meen curry,15000,68,Sunday
Octopus Bakes & Bistro,"Three Junction, Piravom, Ernakulam - 686664, Near Fedral Bank ",Ernakulam ,996100908,4.18,4.1,                       ? 0 - 500,Naadan Kozhi Curry,Kappa Boti,12000,95,Saturday
Hotel Ceylon ,"Padma Junction, M G Road, Ernakulam - 682037, Opposite to City Hospital ",Ernakulam ,          0484 2354333,3.81,3.8,                       ? 0 - 500,Dosa Ghee Roast with Sambar,Parota with beef curry,20000,44,Wednesday
Pappadavada,"Kaloor, Ernakulam - 682017, Opposite Kaloor Bus Stand",Ernakulam ,964522111,3.79,3.7,                       ? 0 - 500,Karimeen Pollichathu ,Thalassery Biryani,42000,66,Friday
Malabar Plaza,"Toll Junction, Edapally, Ernakulam - 682024, Near Pittappillil Electronics & Lulu Mall",Ernakulam ,        0484 40116091,3.81,3.8,                       ? 0 - 500,Parota with beef curry,Seafood ,15000,19,Thursday
Aruvi Nature,"I S Press Road, Pulleppady Cross Road, Ernakulam - 682018, Near Income Tax Office ",Ernakulam ,9496044527,4.43,4.4,                       ? 0 - 500,Idli Sambhar,Fried Prawns,35000,90,Monday
Beeyems Restaurant,"Ground Floor, Mankayi Junction, Udayamperoor, Ernakulam - 682307, Oppo Cherupushpam Studio",Ernakulam ,          0484 6555369,3.88,3.8,                       ? 0 - 500,Sea Foods,Chuttuli Meen ,10000,86,Wednesday
Hotel Nandanam,"G B Towers, Velloorkunnam, Muvattupuzha Market, Ernakulam - 686673, Near Shiva Temple",Muvattupuzha,9846461506,3.83,3.8,                        ? 0 - 500,Kappa and Meen Curry,Death by Chocolate,28000,36,Sunday
Beach Way Restaurant ,"Kalluchira, Paravur, Ernakulam - 683513, Near Cherai Bridge",Paravur,          0484 2446181,4.01,4,                 ? 500 - 1000,Kerala Prawn Curry,Kappa Puzhukku,18000,44,Friday
Hotel Salala,"Convent Road, Chettichira, Ponnuruni, Poonithura, Ernakulam - 682038",Ernakulam ,995228830,4.27,4.2,                        ? 0 - 500,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),20000,40,Sunday
Hungry Birds,Ernakulam - 682022,Ernakulam ,7594885555,3.75,3.7,                        ? 0 - 500,Fish Molee,sandwhich,15000,80,Thursday
Rappais Thattinpuram,"Palarivattom, Ernakulam - 682025 ",Vazhakkala,9895604323,3.67,3.6,                        ? 0 - 500,Idli Sambhar,Thalassery Biryani,25000,98,Tuesday
Malabar Food Court,"Opposite AlMeen School, Edapally, Ernakulam - 682024, Near Lulu Mall ",Ernakulam ,          0484 6407111,3.85,3.8,                 ? 500 - 1000,Sea Foods,Seafood ,40000,70,Wednesday
Malabar Grills ,"Amaravathi Road, Fort Road, Ernakulam - 682001, Near ",Ernakulam ,          0484 2218567,3.75,3.7,                        ? 0 - 500,Kappa and Meen Curry,Fried Prawns,14000,58,Saturday
Malabar Plaza,"Hotel Malabar Plaza, SRM Road Junction, Ernakulam North, Ernakulam - 682018, Near North Railway Station 2nd Platform",Ernakulam ,          0484 4028490,3.66,3.6,                        ? 0 - 500,Kerala Prawn Curry,Chuttuli Meen ,10000,30,Thursday
Supreme Uppercrust ,"48/604/B, Vacha Square, Ernakulam Circle, Vyttila, Vyttila, Vyttila, Ernakulam - 682019, Near Idea Cellular",Thrippunithura,          0484 2807222,3.95,3.9,                        ? 0 - 500,dosa Ghee roast with sambar,Death by Chocolate,20000,60,Friday
Currymean ,"Ground Floor, Athulya Biulding, Infopark Road, Infopark Campus, Kakkanad, Ernakulam - 682030 ",Kakkanad,9388305551,3.94,3.9,                        ? 0 - 500,Fish Molee,Kappa Puzhukku,30000,40,Wednesday
Royal Bakers,"Kochi Madurai Dhanushkodi Road, Tripunithura, Ernakulam - 682301, Nera Damro",Thrippunithura,9745700043,4.01,4,                        ? 0 - 500,Thalassery Biryani,Kappa Boti,18000,55,Tuesday
Sree Saravana bhavan,"Aluva Munnar Road, Perumbavoor, Ernakulam - 683545",Perumbavoor,9947707217,4.04,4,                        ? 0 - 500,Sadhya,Parota with beef curry,32000,46,Saturday
Masafi Restaurant,"3-953, Hayad Building, M G Road, Ernakulam - 682037, Near SBI ",Ernakulam ,          0484 4861054,3.86,3.8,                        ? 0 - 500,Appam with Stew,Thalassery Biryani,28000,43,Friday
Hotel New Aryas ,"XI/220, Pump Juntion, Aluva, Ernakulam - 683101, Railway Station Road",Aluva,          0484 6444116,3.62,3.6,                        ? 0 - 500,Spicy Chicken Fry,Seafood ,50000,72,Sunday
Thamam Restaurant,"No. 412, Thaman Hotel, Edapally Flyover Byepass Junction, Edapally, Ernakulam - 682024, Near Lulu Mall",Ernakulam ,          0484 2801590,3.55,3.5,                        ? 0 - 500,Kerala Prawn Curry,Pizza,34000,45,Saturday
Uruli ,"Time Square Business Hotel, Club Road, MG Road, Club Road-ernakulam South, Ernakulam - 682011, Near Collector's Camp Office ",Ernakulam ,          0484 2374488,3.96,3.9,                        ? 0 - 500,Kappa and Meen Curry,Mutta Chikkiyathu – Scrambled Eggs,14000,50,Sunday
Vadakkeyattam Puttu Kada,"Kumbalam, Ernakulam, Kerala 682506, India, Kumbalam Jetty Road, Kumbalam Ernakulam, Ernakulam - 682506",Kumbalam,9037102255,4.63,4.6,                        ? 0 - 500,Thattu Dosa with Chutney,Pizza,35000,46,Thursday
Vanitha Homely Meals,"G135, 3rd Cross Road, Panampilly Nagar, Ernakulam - 682036, Near Union Bank & Supplico",Ernakulam ,9961077010,4.32,4.3,                        ? 0 - 500,Fish Molee,Burger,20000,80,Sunday
Fort Kitchen,"Seaport Airport Road Vallathol Junction, Thrikkakara, Ernakulam - 682021, Near Suberbun Club",Kakkanad,7947269780,3.58,3.5,                        ? 0 - 500,Beef Fry,kappa meen curry,35000,76,Wednesday
Malabar Canteen,"Kathrikadavu Road, Coorperation Building, Kaloor, Ernakulam - 682017 ",Ernakulam ,9995064440,3.76,3.7,                        ? 0 - 500,Naadan Kozhi Curry,Kappa Boti,18000,32,Thursday
Crystal Kitchen,"Edapally Signal Junction, Edapally, Ernakulam - 682024, Near MAJ Hospital and Bye Road ",Ernakulam ,          0484 2349960,3.53,3.5,                        ? 0 - 500,dosa Ghee roast with sambar,Parota with beef curry,35000,78,Saturday
Calavaras Hot Pot,"Kads Market, Padivattom, Eranakulam, Kochi, Civil Line Road, Vennala, Ernakulam - 682028",Ernakulam ,9619677826,4.52,4.5,                 ? 500 - 1000,arimeen Pollichathu ,Thalassery Biryani,32000,100,Tuesday
Hotel Unnikrishna ,"Church Landing Road, Pallimukku, Ernakulam - 682016",Ernakulam ,          0484 2380594,3.81,3.8,                        ? 0 - 500,Parota with beef curry,Seafood ,37000,56,Sunday
Cinema Cafe,"No.42/2091, K K Padmanabhan Road, Ernakulam North, Ernakulam - 682018, Near Smart Super Market ",Ernakulam ,          0484 6444234,4.17,4.1,                        ? 0 - 500,Idli Sambhar,Fried Prawns,32000,80,Saturday
Swaadh ,"Panayappilly, Chullickal, Fort, Chullickal, Ernakulam - 682005, Near Petrol Pump",Ernakulam ,          0484 4011567,3.55,3.5,                        ? 0 - 500,sea foods,Chuttuli Meen ,30000,40,Friday
Mellow Manna,"Pynadath House, Vyttila, Ernakulam - 682019, Angadikadavu Angamaly",Angamaly,          0484 4861010,3.73,3.7,                        ? 0 - 500,Kappa and Meen Curry,Death by Chocolate,18000,98,Sunday
Sree Ganesha Resturant,"Ground Floor, Jew Town Synagogue Lane, Mattancherry, Ernakulam - 682002, Opposite Post Office",Kochi,9745237199,4.32,4.3,              ? 1000 - 2000,Kerala Prawn Curry,Kappa Puzhukku,12000,50,Tuesday
Hotel Jaybees,"Civil Lane Road, Palarivattom, Ernakulam - 682025, Near City Silks",Vazhakkala,          0484 2333544,3.64,3.6,                       ? 0 - 500,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),32000,48,Sunday
Ummis Kitchen ,"Shop No.39/931, Ground Floor, Ernakulam South, Ernakulam - 682011, Near South Railway Station ",Ernakulam ,          0484 2377711,3.94,3.9,                       ? 0 - 500,Fish Molee,Burger,15000,35,Saturday
Grand Malabar,"Athani, Nedumbassery, Ernakulam - 683585",Nedumbassery,9526551000,3.57,3.5,                       ? 0 - 500,Spicy Chicken Fry,sandwhich,20000,61,Wednesday
Aaharam,"Banerji Road, Kaloor, Ernakulam - 682017, Behind Kaloor Metro Station(Towards Aluva) , Bes Ide Dhanalaxmi Bank",Ernakulam,          0484 3306355,3.51,3.5,                       ? 0 - 500,Kerala Prawn Curry,kappa meen curry,35000,77,Sunday
Malabar Junction,"No1/268, Malabar House Hotel, Parade Road, Kochi, Ernakulam - 682001, Near Fort",Kochi,          0484 2216666,4.02,4,                ? 500 - 1000,Kappa and Meen Curry,Kappa Boti,18000,95,Saturday
Kerala Kitchen,"Payyapilly Bazar Bldng, Nh 47, Aluva Junction, Aluva, Ernakulam - 683101, Near to Seemas Textiles",Aluva,9995738964,4.03,4,                ? 500 - 1000,Thattu Dosa with Chutney,Parota with beef curry,20000,40,Thursday
Hotel Malabar Plaza ,"Ground Floor, Malabar Plaza, Durbar Hall Road, Ernakulam - 682016, Next to DBM Hall, Opposite Ernakulathappan Ground",Ernakulam,          0484 2355900,4.03,4,                ? 500 - 1000,Fish Molee,Thalassery Biryani,28000,60,Sunday
Eat N Park Hotel,"Kaloor, Ernakulam - 682017, Opposite TVS Automobiles, Near Stadium",Ernakulam,          0484 4047125,3.82,3.8,                       ? 0 - 500,Beef Fry,Seafood ,42000,80,Saturday
Rolexio Restaurant ,"National Highway Maamangalam, Palarivattom, Ernakulam - 682025, Near Metro Piller 484 ",Vazhakkala,          0484 2340118,4.22,4.2,                ? 500 - 1000,Naadan Kozhi Curry,burger,14000,44,Friday
Mappilakada,"Amrita Nagar, Edappally, Ernakulam - 682024 ",Ernakulam,9995533331,4.25,4.2,                       ? 0 - 500,Spicy Chicken Fry,sandwhich,30000,36,Tuesday
Royal Food Court ,"Pukkattupady Road, Thrikkakara, Kakkanad, Ernakulam - 682030",Kakkanad,          0484 3306319,3.81,3.8,                       ? 0 - 500,Kerala Prawn Curry,Pizza,15000,44,Wednesday
Signature Cafe Spot ,"Kalamassery, Kochi University, Ernakulam - 682022, Opposite to Vijaya Bank",Kalamassery,8547767451,4.12,4.1,                       ? 0 - 500,Kappa and Meen Curry,Burger,28000,40,Saturday
Hotel Abida,"Vazhakkala, Ernakulam - 682021, Near Kappeala",Vazhakkala,9526721907,4.09,4,                       ? 0 - 500,Thattu Dosa with Chutney,kappa meen curry,35000,80,Thursday
Hotel City Ligh,"Kunumpuram Road, Kakkanad, Ernakulam - 682030, Opposite to Muthoot Finco",Kakkanad,9895030912,3.88,3.8,                        ? 0 - 500,Fish Molee,Kappa Boti,20000,99,Sunday
Anjappar,"Vyttila, Ernakulam - 682019, Near Afters Bakery, Behind Gold's Gym",Thrippunithura,7356663636,3.53,3.5,                       ? 0 - 500,Beef Fry,Parota with beef curry,30000,70,Tuesday
Hotel Hill View,"Hill Palace Road, Tripunithura, Ernakulam - 682301, Near Hill Palace Museum",Thrippunithura,9447078208,3.62,3.6,                       ? 0 - 500,Naadan Kozhi Curry,Thalassery Biryani,30000,58,Sunday
Cafe Cuba ,"Tower Road, Fort, Kochi Fort, Ernakulam - 682001, Opposite Delta Study",Kochi,9895733047,3.7,3.7,                 ? 500 - 1000,Dosa Ghee Roast with Sambar,Seafood ,37000,30,Friday
Aruvi Nature Life,"I S Press ROAd, Kacheripady, Ernakulam, Kerala, Tatapuram, Ernakulam - 682018",Ernakulam,9496044527,4.42,4.4,                        ? 0 - 500,arimeen Pollichathu ,Fried Prawns,30000,60,Saturday
Tharavadu,"Casino Hotel, Willingdon Island, Ernakulam - 682003",Kochi,          0484 3011500,4.41,4.4,               ? 1000 - 2000,Parota with beef curry,Chuttuli Meen ,12000,40,Sunday
Fort Kochi Seafood Restaurant,"Willingdon Island Casino Hotel, Willingdon Island, Ernakulam - 682003",Kochi,          0484 2864500,4.03,4,                        ? 0 - 500,Idli Sambhar,Death by Chocolate,15000,55,Tuesday
Kumbalangikkaran Restaurant,"Kumbalangi Road, Kumbalangi, Marad, Ernakulam - 682010",Maradu,7034375679,4.07,4,                        ? 0 - 500,Kappa and Meen Curry,Kappa Puzhukku,20000,70,Wednesday
Malabar Cafe ,"Bolgatty Island, Near, Vypin, Ernakulam - 682010",Kochi,          0484 2661234,4.99,4.9,               ? 1000 - 2000,Thattu Dosa with Chutney,Ghee Rice (NeyChoru),37000,52,Thursday
Eatery,"No 67/2849, Old Railway Station Road, Kacheripady, Banerji Road, Ernakulam - 682018, Near Central Police Station ",Ernakulam,9037919801,4.21,4.2,                        ? 0 - 500,Fish Molee,Spicy Chicken Fry,40000,80,Sunday
