District Name,Sub District Name,Town Name,Railway Station Name,Bus Route Name,Area (sq. km.),Number of Households,Total Population of Town,Railway Station Road Distance (in kms),Fire Fighting Service (Status A(1)/NA(2)),Electricity-Commercial Connection (Numbers) ,Electricity-Industrial Connection (Numbers),Hospital Allopathic (Numbers),Dispensary/Health Centre (Numbers),Total Health Centres,Govt. Senior Secondary School (Numbers),Private Senior Secondary School (Numbers) ,Total Senior Secondary Schools,Govt. Degree College-Art Only (Numbers),Private Degree College-Art Only (Numbers),Govt. Degree College-Science Only (Numbers),Private Degree College-Science Only (Numbers),Govt. Degree College-Commerce Only (Numbers),Private Degree College-Commerce Only (Numbers),Govt. Degree College-Art and Science Only (Numbers),Private Degree College-Art and Science Only (Numbers),"Govt. Degree College-Art,Science and Commerce (Numbers)","Private Degree College-Art,Science and Commerce (Numbers)",Govt. Degree College-Law (Numbers),Private Degree College-Law (Numbers),Govt.-Medical College (Numbers)),Private-Medical College (Numbers),Govt.-Engineering College (Numbers),Private-Engineering College (Numbers),Govt.-Management Institute (Numbers),Private-Management Institute (Numbers),Govt.-Polytechnic (Numbers),Private-Polytechnic (Numbers),Total Colleges,Govt.-Stadium (Numbers),Private-Stadium (Numbers),Total Stadiums,Govt.-Cinema Theatre (Numbers),Private-Cinema Theatre (Numbers),Total Cinema Theatres,Govt.-Auditorium/Community Hall (Numbers),Private-Auditorium/Community Hall (Numbers),Total Auditoriums
ERNAKULAM,KUNNATHUNAD,Perumbavoor,Aluva,Perumbavoor,13.61,7103,28110,15,1,4593,585,1,4,5,3,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,5,5,0,10,10
ERNAKULAM,KUNNATHUNAD,Koovappady,Aluva,Koovappady,17.29,7319,29339,15,2,1104,371,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
ERNAKULAM,KUNNATHUNAD,Chelamattom,Aluva,Chelamattom,7.29,4151,16844,10,2,750,350,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
ERNAKULAM,KUNNATHUNAD,Marampilly,Aluva,Marampilly,9.24,5368,23272,8,2,1871,804,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,1,1,0,1
ERNAKULAM,KUNNATHUNAD,Vazhakulam,Aluva,Vazhakulam,10.58,4377,18358,10,1,415,20,0,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ERNAKULAM,KUNNATHUNAD,Vengola,Aluva,Vengola,18.07,7791,32697,15,2,1104,371,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,3
ERNAKULAM,KUNNATHUNAD,Kunnathunad,Ernakulam,Kunnathunad,17.21,5377,22881,15,2,590,130,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,1,2,3
ERNAKULAM,KUNNATHUNAD,Puthencruz,Thrippunithura,Puthencruz,28.1,5638,22378,12,2,1200,7037,0,5,5,1,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,3,8,11
ERNAKULAM,ALUVA,Angamaly,Angamaly,Angamaly,28.24,8405,33465,0,1,1950,805,1,1,2,1,6,7,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,1,1,1,8,9
ERNAKULAM,ALUVA,Aluva,Aluva,Aluva,6.46,5641,22428,0,1,2465,292,1,2,3,6,2,8,2,5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,14,1,1,2,0,4,4,4,15,19
ERNAKULAM,ALUVA,Kalady,Angamaly,Kalady,10.32,5139,20380,10,2,547,172,0,3,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,3,3
ERNAKULAM,ALUVA,Mattoor,Angamaly,Mattoor,9.77,4728,18890,9,2,250,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ERNAKULAM,ALUVA,Vadakkumbhagom,Chowwara,Vadakkumbhagom,7.19,2861,11727,5,2,164,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ERNAKULAM,ALUVA,Chowwara,Chowwara,Chowwara,8.27,3579,14933,2,2,825,192,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1
ERNAKULAM,ALUVA,Nedumbassery,Angamaly,Nedumbassery,19.74,7560,29706,4,2,750,250,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,6,6
ERNAKULAM,ALUVA,Chengamanad,Aluva,Chengamanad,15.88,7275,29576,6,2,756,163,0,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,6,6
ERNAKULAM,ALUVA,Kizhakkumbhagom,Chowwara,Kizhakumbhagom,7.13,2714,10791,6,2,96,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERNAKULAM,ALUVA,Thekkumbhagom,Chowwara,Thekkumbhagom,6.13,2574,10798,5,2,330,77,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ERNAKULAM,ALUVA,Edathala,Aluva,Edathala,34.99,18400,77811,2,2,2210,22,0,7,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,2,1,0,1
ERNAKULAM,ALUVA,Choornikkara,Aluva,Choornikkara,16.8,10403,43207,4,2,100,1191,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,2,1,6,7
ERNAKULAM,PARAVUR,Paravur,Aluva,Paravur,9.02,8095,31503,16,1,2210,175,1,3,4,4,3,7,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,11,1,0,1,1,1,2,1,5,6
ERNAKULAM,PARAVUR,Puthenvelikkara,Aluva,Puthenvelikkara,25.51,8379,33372,24,2,1373,83,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,1,1,1,3,4
ERNAKULAM,PARAVUR,Chendamangalam,Aluva,Chendamangalam,10.83,7635,29326,15,2,989,25,0,5,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3
ERNAKULAM,PARAVUR,Moothakunnam,Aluva,Moothakunnanm,9.93,6963,27458,24,2,132,1028,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,5,5
ERNAKULAM,PARAVUR,Vadakkekara,Aluva,Vadakkekara,6.48,5138,20571,20,2,849,150,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ERNAKULAM,PARAVUR,Karumalloor,Aluva,Karumalloor,19.01,7186,29805,9,2,1213,80,0,0,0,2,2,4,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,1,2,2,19,0,0,0,0,1,1,0,2,2
ERNAKULAM,PARAVUR,Kadungalloor,Aluva,Kadungalloor,15.88,9512,39666,6,2,1127,364,0,6,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ERNAKULAM,PARAVUR,Alangad,Aluva,Alangad,21.02,11745,47329,7,2,600,15,0,1,1,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
ERNAKULAM,PARAVUR,Kottuvally,Aluva,Kottuvally,21,10671,42922,19,2,750,9,1,5,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3
ERNAKULAM,PARAVUR,Varappuzha,Aluva,Varappuzha,10.01,6667,26750,18,2,750,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,1,0,1
ERNAKULAM,PARAVUR,Eloor,Aluva,Eloor,10.71,7901,31468,15,1,2000,500,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,2,4
ERNAKULAM,KOCHI,Kochi,Ernakulam,Kochi,45.47,65469,274350,0,1,14,0,4,0,4,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ERNAKULAM,KOCHI,Njarackal,Ernakulam,Njarackal,8.63,5848,23760,12,2,50,10,0,4,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2
ERNAKULAM,KOCHI,Elamkunnapuzha,Ernakulam,Elamkunnapuzha,8.72,6554,26997,12,2,767,100,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ERNAKULAM,KOCHI,Puthuvype,Ernakulam North,Puthuvype,7.06,5677,23717,8,2,983,50,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
ERNAKULAM,KOCHI,Kumbalangy,Aroor,Kumbalangy,21.14,10034,42367,1,2,1156,112,1,3,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
ERNAKULAM,KANAYANNUR,Kalamassery,Kalamassery,Kalamassery,27,17844,71038,0,2,7400,472,1,24,25,2,1,3,2,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,1,1,2,0,11,0,0,0,0,3,3,3,10,13
ERNAKULAM,KANAYANNUR,Ernakulam,Ernakulam ,Kochi,55.3,87252,336048,0,2,42312,4914,3,22,25,11,30,41,3,14,0,0,0,0,0,0,3,14,1,0,0,1,1,0,3,10,0,2,52,6,2,8,0,5,5,4,15,19
ERNAKULAM,KANAYANNUR,Thrippunithura,Thrippunithura,Thrippunithura,18.69,18096,69390,0,1,4637,616,1,11,12,4,6,10,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,1,1,0,2,2,2,12,14
ERNAKULAM,KANAYANNUR,Kakkanad,Ernakulam Town, Kakkanad,17.54,6422,25531,5,2,4355,391,0,1,1,0,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,1,2,3
ERNAKULAM,KANAYANNUR,Vazhakkala,Ernakulam,Vazhakkala,12.87,12762,51242,9,2,5009,186,0,3,3,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,6,1,0,1,0,1,1,0,2,2
ERNAKULAM,KANAYANNUR ,Cheranallur,Ernalulam Town,Cheranallur,10.8,7619,30594,6,2,1250,30,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,7,8
ERNAKULAM,KANAYANNUR,Kadamakkudy,Ernakulam Town,Kadamakkudy,12.92,4017,16295,10,2,268,11,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4
ERNAKULAM,KANAYANNUR,Mulavukad,Ernakulam,Mulavukad,19.27,5315,21833,2,2,423,25,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
ERNAKULAM,KANAYANNUR ,Thiruvankulam,Thrippunithura,Thiruvankulam,10.49,5919,23160,4,2,638,47,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,2,0,4,4
ERNAKULAM,KANAYANNUR,Kanayannur,Kureekkad,Kanayannur,7.38,2346,9308,2,2,299,49,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERNAKULAM,KANAYANNUR,Kureekkad,Kureekkad,Kureekad,5.3,3448,13348,0,2,590,40,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,0,1
ERNAKULAM,KANAYANNUR,Maradu,Ernakulam,Maradu,12.35,11065,44704,8,2,2000,600,0,5,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,4,5
ERNAKULAM,KANAYANNUR,Kumbalam,Ernakulam,Kumbalam,20.79,7214,29193,12,2,814,12,0,3,3,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,4
ERNAKULAM,KANAYANNUR,Manakunnam,Thrippunithura,Manakunnam,24.86,9716,39538,5,2,2000,1,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ERNAKULAM,KANAYANNUR,Mulamthuruthy,Mulanthuruthy,Mulamthuruthy,21.48,6489,25852,0,2,501,163,0,3,3,1,1,2,0,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,2,2,0,4,4
ERNAKULAM,KANAYANNUR,Amballur,Kanjiramattom,Amballur,10.82,2801,11358,2,2,500,10,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ERNAKULAM,MUVATTUPUZHA,Muvattupuzha,Angamaly,Muvattupuzha,13.18,7414,30397,33,1,1000,50,1,30,31,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,4,5,8,13
ERNAKULAM,MUVATTUPUZHA ,Velloorkunnam,Ernakulam,Velloorkunnam,8.35,2760,11576,32,2,100,500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ERNAKULAM,KOTHAMANGALAM,Kothamangalam,Aluva,Kothamangalam,40.04,9663,38837,35,1,2058,180,1,1,2,1,7,8,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,6,0,5,5,0,5,5,0,6,6
ERNAKULAM,KOTHAMANGALAM,Eramalloor,Aluva,Eramalloor,19.85,7971,33829,35,2,3800,128,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1
